condition,batch,trials,avg_steps,min_steps,max_steps_observed,max_step_failures
regular,0,150,22.9267,7,150,2
regular,1,150,19.0333,7,103,0
regular,2,150,33.1867,7,150,9
regular,3,150,43.4933,7,150,20
regular,4,150,29.1533,7,150,6
regular,5,150,146.9133,11,150,145
regular,6,150,32.9667,8,150,3
regular,7,150,32.3933,7,150,8
regular,8,150,37.4667,7,150,10
regular,9,150,149.6533,98,150,149
regular,10,150,28.2400,7,150,4
regular,11,150,26.0867,7,150,3
regular,12,150,43.5067,8,150,13
regular,13,150,26.3267,7,150,2
regular,14,150,148.4733,26,150,147
regular,15,150,42.2667,7,150,13
regular,16,150,150.0000,150,150,150
regular,17,150,43.5667,10,150,9
regular,18,150,150.0000,150,150,150
regular,19,150,34.6600,7,150,5
regular,20,150,149.4267,64,150,149
regular,21,150,72.0467,7,150,41
regular,22,150,27.5000,7,150,4
regular,23,150,40.0933,7,150,14
regular,24,150,41.3400,7,150,14
regular,25,150,42.3533,8,150,12
regular,26,150,31.5467,7,150,6
regular,27,150,59.6200,8,150,33
regular,28,150,47.0933,7,150,17
regular,29,150,20.4533,7,73,0
regular,30,150,49.4333,7,150,21
regular,31,150,19.0533,7,114,0
regular,32,150,150.0000,150,150,150
regular,33,150,23.8933,7,85,0
regular,34,150,27.0333,8,150,2
regular,35,150,61.6667,8,150,37
regular,36,150,20.2333,7,64,0
regular,37,150,44.5267,7,150,13
regular,38,150,149.3933,59,150,149
regular,39,150,37.5067,7,150,10
regular,40,150,46.4333,7,150,11
regular,41,150,31.3733,8,150,3
regular,42,150,36.3400,9,150,8
regular,43,150,59.7867,7,150,29
regular,44,150,28.0867,7,150,1
regular,45,150,26.4067,7,150,3
regular,46,150,75.9800,10,150,57
regular,47,150,25.4600,7,150,2
regular,48,150,150.0000,150,150,150
regular,49,150,147.1933,25,150,145
punishment_1.0,0,150,109.7867,15,150,63
punishment_1.0,1,150,109.6800,18,150,77
punishment_1.0,2,150,108.1067,11,150,66
punishment_1.0,3,150,113.0067,18,150,75
punishment_1.0,4,150,102.8933,14,150,55
punishment_1.0,5,150,111.6600,10,150,68
punishment_1.0,6,150,124.3867,12,150,92
punishment_1.0,7,150,109.9533,14,150,68
punishment_1.0,8,150,120.9600,20,150,81
punishment_1.0,9,150,104.4067,10,150,60
punishment_1.0,10,150,114.7800,20,150,73
punishment_1.0,11,150,102.6467,12,150,51
punishment_1.0,12,150,127.1800,22,150,102
punishment_1.0,13,150,92.8067,13,150,44
punishment_1.0,14,150,127.2200,22,150,100
punishment_1.0,15,150,108.8600,21,150,73
punishment_1.0,16,150,95.1333,10,150,40
punishment_1.0,17,150,118.6333,9,150,81
punishment_1.0,18,150,111.9000,10,150,74
punishment_1.0,19,150,111.9800,12,150,78
punishment_1.0,20,150,97.5600,9,150,51
punishment_1.0,21,150,120.2933,10,150,83
punishment_1.0,22,150,64.1667,10,150,17
punishment_1.0,23,150,101.5400,13,150,55
punishment_1.0,24,150,103.5000,11,150,50
punishment_1.0,25,150,121.0533,16,150,87
punishment_1.0,26,150,97.8667,11,150,54
punishment_1.0,27,150,102.3733,12,150,56
punishment_1.0,28,150,116.2000,13,150,86
punishment_1.0,29,150,98.5333,13,150,57
punishment_1.0,30,150,103.9133,8,150,61
punishment_1.0,31,150,118.3733,18,150,78
punishment_1.0,32,150,112.4667,10,150,75
punishment_1.0,33,150,103.5400,16,150,55
punishment_1.0,34,150,110.3133,10,150,73
punishment_1.0,35,150,103.8933,10,150,62
punishment_1.0,36,150,109.5533,13,150,68
punishment_1.0,37,150,103.1000,14,150,57
punishment_1.0,38,150,106.7000,12,150,59
punishment_1.0,39,150,82.0467,9,150,35
punishment_1.0,40,150,132.0800,31,150,103
punishment_1.0,41,150,89.5533,9,150,40
punishment_1.0,42,150,125.6467,22,150,86
punishment_1.0,43,150,105.5467,12,150,65
punishment_1.0,44,150,90.8467,12,150,42
punishment_1.0,45,150,119.9200,11,150,88
punishment_1.0,46,150,84.1400,8,150,32
punishment_1.0,47,150,62.7467,9,150,13
punishment_1.0,48,150,125.7067,24,150,99
punishment_1.0,49,150,105.4867,7,150,62
punishment_0.5,0,150,61.5200,7,150,27
punishment_0.5,1,150,98.6467,15,150,50
punishment_0.5,2,150,84.9400,10,150,46
punishment_0.5,3,150,76.7067,12,150,26
punishment_0.5,4,150,83.3867,9,150,35
punishment_0.5,5,150,74.6600,8,150,33
punishment_0.5,6,150,72.9600,9,150,38
punishment_0.5,7,150,79.4333,8,150,38
punishment_0.5,8,150,77.2400,11,150,42
punishment_0.5,9,150,100.9667,11,150,57
punishment_0.5,10,150,104.0000,11,150,65
punishment_0.5,11,150,119.6333,22,150,85
punishment_0.5,12,150,59.3133,11,150,17
punishment_0.5,13,150,84.7800,11,150,42
punishment_0.5,14,150,84.2133,9,150,41
punishment_0.5,15,150,102.1333,9,150,56
punishment_0.5,16,150,103.2867,17,150,69
punishment_0.5,17,150,95.0467,8,150,52
punishment_0.5,18,150,82.5400,9,150,40
punishment_0.5,19,150,99.2867,9,150,60
punishment_0.5,20,150,23.1133,7,150,1
punishment_0.5,21,150,71.0333,8,150,23
punishment_0.5,22,150,81.8400,10,150,31
punishment_0.5,23,150,92.9800,10,150,42
punishment_0.5,24,150,53.1200,8,150,11
punishment_0.5,25,150,104.2533,8,150,75
punishment_0.5,26,150,100.0600,10,150,65
punishment_0.5,27,150,86.9200,11,150,46
punishment_0.5,28,150,67.5200,9,150,24
punishment_0.5,29,150,99.1800,12,150,54
punishment_0.5,30,150,91.2933,10,150,47
punishment_0.5,31,150,90.7267,11,150,44
punishment_0.5,32,150,69.7467,9,150,25
punishment_0.5,33,150,61.8067,7,150,15
punishment_0.5,34,150,79.2000,10,150,34
punishment_0.5,35,150,99.4933,13,150,58
punishment_0.5,36,150,59.2733,8,150,14
punishment_0.5,37,150,112.5733,14,150,76
punishment_0.5,38,150,62.4933,9,150,25
punishment_0.5,39,150,93.8200,9,150,49
punishment_0.5,40,150,105.1600,10,150,63
punishment_0.5,41,150,69.7267,8,150,22
punishment_0.5,42,150,100.3200,15,150,62
punishment_0.5,43,150,32.3533,7,150,3
punishment_0.5,44,150,63.7800,7,150,18
punishment_0.5,45,150,63.9600,9,150,24
punishment_0.5,46,150,88.7200,13,150,51
punishment_0.5,47,150,80.1600,11,150,36
punishment_0.5,48,150,78.5133,13,150,34
punishment_0.5,49,150,48.6133,8,150,12
punishment_0.25,0,150,63.9000,8,150,25
punishment_0.25,1,150,50.2600,7,150,23
punishment_0.25,2,150,76.3600,10,150,39
punishment_0.25,3,150,64.3267,8,150,32
punishment_0.25,4,150,66.1200,9,150,38
punishment_0.25,5,150,61.0000,7,150,28
punishment_0.25,6,150,104.5800,11,150,72
punishment_0.25,7,150,61.3333,10,150,25
punishment_0.25,8,150,62.3533,7,150,25
punishment_0.25,9,150,82.6400,9,150,52
punishment_0.25,10,150,69.9400,7,150,38
punishment_0.25,11,150,44.0267,8,150,21
punishment_0.25,12,150,86.8267,12,150,52
punishment_0.25,13,150,120.0133,17,150,85
punishment_0.25,14,150,97.3867,8,150,66
punishment_0.25,15,150,58.4067,8,150,27
punishment_0.25,16,150,75.4933,8,150,38
punishment_0.25,17,150,28.8600,7,150,3
punishment_0.25,18,150,94.9133,13,150,57
punishment_0.25,19,150,63.9000,7,150,28
punishment_0.25,20,150,21.5800,7,150,1
punishment_0.25,21,150,42.3400,7,150,12
punishment_0.25,22,150,40.9867,8,150,17
punishment_0.25,23,150,50.4200,8,150,16
punishment_0.25,24,150,77.3067,7,150,47
punishment_0.25,25,150,100.8600,11,150,72
punishment_0.25,26,150,49.6800,8,150,20
punishment_0.25,27,150,81.4600,8,150,40
punishment_0.25,28,150,71.1133,8,150,40
punishment_0.25,29,150,62.5067,8,150,26
punishment_0.25,30,150,55.5933,7,150,23
punishment_0.25,31,150,88.8267,8,150,55
punishment_0.25,32,150,79.4800,11,150,48
punishment_0.25,33,150,78.1733,7,150,42
punishment_0.25,34,150,24.3600,7,150,4
punishment_0.25,35,150,53.4200,7,150,16
punishment_0.25,36,150,54.9533,8,150,27
punishment_0.25,37,150,49.8933,9,150,22
punishment_0.25,38,150,64.4667,8,150,31
punishment_0.25,39,150,100.8200,11,150,65
punishment_0.25,40,150,80.9600,8,150,50
punishment_0.25,41,150,79.6267,9,150,41
punishment_0.25,42,150,67.1600,8,150,35
punishment_0.25,43,150,69.7667,9,150,38
punishment_0.25,44,150,79.0600,11,150,45
punishment_0.25,45,150,79.6000,8,150,47
punishment_0.25,46,150,79.3333,10,150,45
punishment_0.25,47,150,65.7267,8,150,27
punishment_0.25,48,150,28.7333,7,150,3
punishment_0.25,49,150,61.4333,7,150,30
